t, days	M, rad	E, rad	Phi, rad	
409	3.74071	3.69187	3.64481
410	3.74986	3.70035	3.65262
411	3.759	3.70882	3.66045
412	3.76815	3.7173	3.66827
413	3.77729	3.72579	3.67611
414	3.78644	3.73427	3.68395
415	3.79559	3.74276	3.6918
416	3.80473	3.75126	3.69965
417	3.81388	3.75975	3.70751
418	3.82302	3.76825	3.71538
419	3.83217	3.77676	3.72325
420	3.84132	3.78527	3.73113
421	3.85046	3.79378	3.73902
422	3.85961	3.8023	3.74691
423	3.86875	3.81081	3.75481
424	3.8779	3.81934	3.76272
425	3.88705	3.82787	3.77064
426	3.89619	3.8364	3.77856
427	3.90534	3.84493	3.78649
428	3.91448	3.85347	3.79443
429	3.92363	3.86202	3.80238
430	3.93278	3.87057	3.81034
431	3.94192	3.87912	3.8183
432	3.95107	3.88768	3.82627
433	3.96021	3.89624	3.83425
434	3.96936	3.9048	3.84223
435	3.97851	3.91337	3.85023
436	3.98765	3.92195	3.85823
437	3.9968	3.93053	3.86625
438	4.00594	3.93911	3.87427
439	4.01509	3.9477	3.8823
440	4.02424	3.95629	3.89033
441	4.03338	3.96489	3.89838
442	4.04253	3.97349	3.90644
443	4.05167	3.9821	3.9145
444	4.06082	3.99071	3.92257
445	4.06997	3.99933	3.93066
446	4.07911	4.00795	3.93875
447	4.08826	4.01658	3.94685
448	4.0974	4.02521	3.95496
449	4.10655	4.03384	3.96308
450	4.1157	4.04249	3.97121
451	4.12484	4.05113	3.97935
452	4.13399	4.05979	3.9875
453	4.14313	4.06844	3.99566
454	4.15228	4.07711	4.00383
455	4.16143	4.08578	4.01201
456	4.17057	4.09445	4.0202
457	4.17972	4.10313	4.0284
458	4.18886	4.11181	4.03661
459	4.19801	4.1205	4.04483
460	4.20716	4.1292	4.05307
461	4.2163	4.1379	4.06131
462	4.22545	4.14661	4.06956
463	4.23459	4.15532	4.07783
464	4.24374	4.16404	4.0861
465	4.25289	4.17276	4.09439
466	4.26203	4.18149	4.10268
467	4.27118	4.19023	4.11099
468	4.28032	4.19897	4.11931
469	4.28947	4.20772	4.12764
470	4.29862	4.21647	4.13598
471	4.30776	4.22523	4.14434
472	4.31691	4.234	4.1527
473	4.32605	4.24277	4.16108
474	4.3352	4.25155	4.16946
475	4.34435	4.26033	4.17787
476	4.35349	4.26912	4.18628
477	4.36264	4.27792	4.1947
478	4.37178	4.28672	4.20314
479	4.38093	4.29553	4.21159
480	4.39008	4.30435	4.22005
481	4.39922	4.31317	4.22852
482	4.40837	4.322	4.23701
483	4.41751	4.33084	4.2455
484	4.42666	4.33968	4.25401
485	4.43581	4.34853	4.26254
486	4.44495	4.35738	4.27107
487	4.4541	4.36624	4.27962
488	4.46324	4.37511	4.28818
489	4.47239	4.38399	4.29676
490	4.48154	4.39287	4.30535
491	4.49068	4.40176	4.31395
492	4.49983	4.41065	4.32256
493	4.50897	4.41956	4.33119
494	4.51812	4.42847	4.33983
495	4.52727	4.43738	4.34848
496	4.53641	4.4463	4.35715
497	4.54556	4.45523	4.36583
498	4.5547	4.46417	4.37453
499	4.56385	4.47312	4.38324
500	4.573	4.48207	4.39196
501	4.58214	4.49103	4.4007
502	4.59129	4.49999	4.40945
503	4.60043	4.50897	4.41821
504	4.60958	4.51795	4.42699
505	4.61873	4.52693	4.43578
506	4.62787	4.53593	4.44459
507	4.63702	4.54493	4.45341
508	4.64616	4.55394	4.46225
